nomenclature,code
partial acrylic denture (bite and imps),700
partial acrylic denture (try in),703
partial acrylic denture (fit),703
reline of denture,716
reline of denture (fit),716
denture repair,715
dentures,726
denture anchor,9999
denture try in,703
denture fit,703
full denture imps and rims not fitted,700
dg [ul3],399
dahl appliance,9999
di [ul1],399
diagnostic stent,820
dincis [ul1],399
discoloured,9995
discount on treatment,9999
patient discount,9999
discount,9999
discuss treatment plan,9999
dl [ur1],399
dlc [ul3],399
dlg [ul1],399
mouthguard (clear) - fit,1107
skeletal design partial denture 1 bar,707
skeletal partial denture multiple bar,707
metal denture already cast,726
mouthguard (coloured) - fit,1107
metal partial denture plate designed,711
metal denture impression + rim,700
metal denture try-in stage,703
dn [lr6],399
do [ll5],399
dob [ul7],399
doc [ul1],399
dog [ll5],399
doi [ur4],399
dol [ul6],399
duraphat paste,9999
partial multiple bar denture,707
precision attachment,9986
partial plate denture not fitted,726
plate partial denture tried in wax,703
drain [ur2],9986
opening root canal for drainage (occ),9986
resin denture not fitted,726
reline to denture,716
soft denture reline,718
repairs to dentures,715
dress [ll8],207
[dre - dressing] dressing!,207
dressing!,207
dressing (occ),207
mouthguard (coloured) fit,1107
resin denture impression + rims,700
resin denture try-in stage,703
[sens] desensitise,1104
full denture tried in wax,703
duraphat toothpaste,9999
e [ul1],399
exam related services,9999
tepe easy,9999
edge [ul1],9986
electric toothbrush,9999
empress bridge prep,900
emerg treatment,126
empress crown prep,414
endo [lle],515
unerupted tooth,9993
unerupted or exfoliated teeth,9993
articulated study models,110
*essix retainer,1035
review appointment,103
10 min  routine examination,100
15 min routine examination,100
20 min routine examination,100
30 min  consultation,100
examination,100
ex non nhs,100
examination extensive,100
exam notes (caries risk),9999
exam notes (reason for attendance),9999
child exam,124
child examination,124
child exam notes,9999
initial consultation,100
denplan examination,100
free examination,100
new patient consultation,102
new patient exam (with x-rays),102
new patient consult child under 12 years,124
new patient exam child,124
promo np exam,102
examination (with x-rays),100
examination (no x-rays),100
denplan x-ray,105
medium radiograph(s),107
panoral,107
new patient panoral,107
small radiograph(s),105
new patient small radiograph,105
cbct scan,108
cbct scan medium,108
cbct scan large,108
exsic [ll2],200
exam (d) & scale & polish (h),101
extraction (occ),600
surcharge for extraction per visit,9999
surcharge for extraction per visit (occ),9999
EXTRACTION SURG,601
restoration services,9999
restoration fee,9999
f/- or -/f acrylic denture,726
fail to attend appointment,9972
facebp [lr6],9986
facebr [lr5],9986
facecr [ur4],9986
facing for inlay,410
facein [lr6],410
facelb [ll5],410
amalgam restoration[amal],400
amalgam restoration,400
facebow/bite record,9999
fast braces or nuvola,1032
full case assessment,9999
anterior composite restoration,401
composite restoration (front),401
further conultation,9999
posterior composite filling,401
composite restoration (back),401
fit crown,427
fgc [ll6],399
small white filling,401
large white filling,401
filling material,9999
filling material notes,9990
dermal filler,9999
cosmetic inlay (preparation),407
cosmetic inlay (fit),451
fissure sealant composite resin,404
full upper same day teeth express,9999
teeth express review,103
replacement nylon insert,9999
full implant over dentures,801
replace lost metal housing,9999
implant work - deposit required,800
implant consultation,800
implant assessment,800
implant crown,806
implant crown recement,422
healing abutment,9986
implant impressions,850
[impi - implant insertion] implant placement,801
annual implant review,813
adin implant placement,801
biohorizon implant placement,801
nobel active implant placement,801
straumann implant placement,801
uncover implant,851
implant exposure technique,851
implant removal,9986
impacted,610
implant bridge impressions,850
implant bridge jig confirmation,9999
implant bridge try in,901
implant bridge fit,926
implant crown preparation,414
surgical procedure,9999
impacted 3rds,610
impacted 3rds (occ),610
free implant consultation,800
impcst [ul8],9986
impression for repair to denture,701
impression for repair to denture (occ),701
implant exam,800
impfit [ul1],801
implant denture f/- or -/f initial imp,803
IMPLANT,801
implant components,814
crown prep & imp for implant,414
implant crown fit,806
implant denture f/f,726
implant denture special tray imp,850
implant denture try in,703
implant denture fit,703
implant post,805
impressions,1128
diagnostic models and radiographic stent,110
impwax [ur2],116
impression for zoom in chair,1128
incis2 [ul1],399
treatment of infected sockets,9986
treatment of infected sockets (occ),9986
nhs inlay fit,451
in house bleaching - one visit,1113
fit inlay,451
inman appliance,9999
internal bleaching,1113
invisalign additional aligners,1005
invisalign attachments,1016
invisalign clincheck review,1005
invisalign fit aligners,1015
invisalign impressions,1128
invisalign ipr,1005
invisalign/nuvola ortho,1005
ortho,1005
invisalign consultation,1005
invisalign treatment,1005
invisalign review,1012
porcelain inlay fit,409
ipjc [ll7],815
ippfit [lr7],845
ipulpb [ll6],505
ipv [ur1],9986
additions to denture of remaining teeth,712
ispfit [ll6],9986
ispwax [lr7],116
kcons [ll4],100
kfill [lr5],399
kpulp [ul5],505
kvpulp [ur4],506
l [ul1],399
remove loose fragment/temp dress,9999
lateral cephalometric xray,108
lateral cephalometric xray (ortho),108
la used,9999
lc [ur1],9986
lab cost,9999
lg [ur6],9986
lab made post/s,433
lot [ul6],9986
lost surgery time,9999
lux [ur1],801
miscellaneous treatment,9999
m [ur1],399
micro abrasion,9999
referral for advanced mandatory services,113
mb [ul2],399
mbc [ul3],399
mbg [ul3],399
mbl [ul6],399
mc [ur2],399
metal cap,9986
metal cap (other's care),9986
metal crown preparation,414
metal crown fit,427
mdbc [ul1],399
mdblc [ur1],399
mdlc [ul3],399
medication,9999
mg [ur3],399
mouthguard clear imp,1128
mouthguard coloured imp,1128
mincis [ul1],801
missing tooth,9980
laboratory fee,9999
"maryland bonded pontic[1832 - bridge, pontic in thermally bonded porcelain]",910
maryland bonded pontic,910
maryland wing unit,911
mlc [ul3],399
mo [ul6],399
mob [ll7],399
mobl [ur6],399
moblg [lr5],399
moc [ur2],399
mockups to give pt idea of appearance,9999
mod [ur5],399
modb [lr6],399
modbl [lr6],399
modbli [ur5],399
modc [ur1],399
modl [ul6],399
mog [ur5],399
mol [ur6],399
other treatment,9999
mpdn [ur6],399
treatment of sensitive cementum,9999
stone & smooth tooth surface,1116
stone & smotth tooth surface,1116
mouthguard impressions,1128
multiple exos,9999
non-vital,505
non-vital pulpotomy[4404 - non vital pulpotomy/root treatment],505
non-vital pulpotomy,505
o [ll7],399
nhs transition fee to finish course,9999
anchorage reinforcement,9999
ob [ll6],399
porcelain bonded crown,417
emergency appointment,126
obg [ll6],399
obl [ul6],399
orthodontic consultation,1000
impressions for fixed  appliances,1128
orthodontic review,1001
orthodontic bite plane appliance,1035
root filling,9977
obturators,9986
oc [lr3],399
occlusal adjustment to dentures,714
occlusal equilibration,1130
acrylic occclusal appliance,9999
occlusal adjustment,1111
cfast consultation,9999
cfast assessment,9999
cfast impressions,1128
cfast review,103
occlusal hard acrlic nightguard,1107
oral cancer screening,9999
cosmetic tooth alignment 1 arch,9999
cosmetic tooth alignment 2 arches,9999
essix retainer impressions,1128
essix retainer fit,9999
extra-oral traction,9999
simple fixed ortho appliance,1032
fixed multibank bracket ortho appliance,1032
fixed bonded orthodontic retainer,1009
functional orthodontic appliance,1035
og [lr5],399
instruction in oral hygiene,9999
oral hygiene,231
impression required for repairs to ortho,1128
impressions for ura,1128
ol [ur6],399
olc [ur6],399
olg [lr5],399
other metal denture,726
porcelain inlay/onlay fit,451
any other orthodontic treatment,1032
removable pressure formed retainer,1035
opg for bind pt and smiel pts who need to be charged,107
[5001] dressing,207
acupuncture follow up 50,9999
new patient consultation with dr newman,100
medical consultation 60.00,9999
crown preparation,414
speech & lang therapy follow up,9999
general medical appt,9999
crown placement,415
courtesy call,9999
[1011] periodontal treatment,221
[1461] glass ionomer cement - b,403
dr drake general,9999
uncovering implant,851
[1443] fissure sealant with glass ionomer - o,301
[2863] addition of tooth,712
hygiene student,231
routine implant assessment,800
sports massage,9999
insurance follow up zero charge,9999
*GHJHJ,9999
osteopathy follow up,9999
photo consent,9999
surface o - defective - broken,9984
physio insurance ppp 40,9999
oap rates,9999
acrylic denture fit upper or lower,703
heidis prescriptions 30,1103
acupuncture follow up,9999
perio consultation 1hr 140,214
free consultation,104
reflexology - 1 hour,9999
bone augmentation,9999
ortho consultation,1000
chrome cobalt denture ( estimate ),726
botox 1 area 205,3034
tutoring service,9999
[1703] inlay gold - large - mod,410
botox  2 areas 260,3034
periodontal re-assessment,214
fit aligners,1015
[1442] fissure sealant with composite - o,404
[1411] tunnel restoration - o,399
gp home visit before midnight,9999
nightguard imps,1128
flu vaccine,9999
cosmetic review zero charge,3034
implant consult 70,800
[211] study casts,110
implant bridge,817
medical report services mrs,9999
removable spring/screw ortho appliance,1035
repairing removable ortho appliance,1035
replacement of functional ortho appl,1035
replacement of simple fixed ortho appl,1032
repairing a functional ortho appliance,1032
refixing metal component in ortho appl,1032
replaced space/retention ortho appliance,1004
replacement of spring/screw ortho appl,1032
replacement 'o'rings re washers,1032
removable orthodontic retainer,1035
ortho notes,9990
adult ortho fixed,1032
invislaign,1005
ortho rev,1001
simple case,9999
smile tru consultation,1001
smile tru aligner impressions,1128
smile tru aligner fit,9999
smile tru review,1001
additional supervision for 2 months,9999
supervision of retention > 5 months,9999
any other treatment,9999
any other incomplete treatment,9999
overhang,9995
preparation & impressions,1128
perio,201
partial upper/lower acrylic (imps),700
partial upper/lower acrylic special tray,707
partial upper/lower acrylic bite,707
partial upper/lower acrylic tryin,703
partial upper/lower acrylic fit,703
anti biotic therapy,9999
pain notes,9999
patient in pain,9999
panoral (occ),107
partial denture bearing[2733 - partial upper denture],707
partial denture bearing,707
partial denture bearing (other's care),707
core & post bridge precious metal,433
core & post bridge non-precious metal,433
periochip(s),216
dentomycin,9999
relative analgesia,9999
application of flouride,300
partially erupted tooth,9991
additional fee per arch for wire insert,9999
perio assessment,214
juvaderm ultra smile 0.55 ml,9999
provisional crown,9999
desensitise,9999
juvaderm ultra 3 1.1ml,9999
dental implant prep and temporary work,9999
denture consent form,9999
new patient consultation 10%,100
flat plane appliance,9999
dental implant referral,9999
orthodontic referral,9999
"""motivate cleanse and polish (30 mins)""",203
filling - composite,401
healthy mouth review,103
new patient healthy mouth review,103
emergency temp treatment- existing patients,126
"""edc plan motivate cleanse and polish""",203
peri-apical radiograph,106
edc plan healthy mouth review,103
covid risk assessment,9999
crown pfm,417
emergency temp treatment non-registered patient,126
ortho rev- follow up,9990
perio spec 60 minute,201
5 to 16 healthy mouth review,103
filling - glass ionomer,403
emergency - edc plan,126
emergency advice only,126
perio spec consultation,201
implant single placement,801
dental laboratory fee,9999
crown emax,423
emergency 0 - repeat visit,126
denture primary impressions,700
crown core build up,446
perio spec 30 minute rsd,201
photography consent form,9999
perio spec 3 month review,103
"""motivate cleanse and polish (60 mins)""",206
implant crown ceramic,806
perio spec 6 month review,103
perio 3 month review,103
denture secondary impression,701
open and dress,500
under 6 healthy mouth review,119
new 7 to 16 healthy mouth review,124
extraction surgical,600
bridge prep and imps,900
crown zirconia,425
filling child,399
soft bra mouthguard (clear) - fit,1107
denture acrylic,726
prescription and dispense charge,1103
diagnostic wax up per tooth charge,116
denture immediate,726
ortho vmr (removable retainer),1010
veneer lab made porcelain/composite,438
implant hygienist visit,231
antibiotic fee,1102
filling - amalgam,400
erosion,9999
small particulate bone graft,9999
complimentary review appointment,103
denture cobalt chrome,726
implant set up time,9990
ams root canal referral assessment,9990
implant clear up time,9990
attrition,9999
ortho opg,107
ortho study model,110
perio spec referral,9999
sedation pre op,9999
crown provisional,415
covid-19 telephone consultation,9999
ortho fixed bonded retainer (no charge),1032
retainer fit,9999
implant xla 1-10 teeth,801
extraction consent form,600
bridge maryland fit,900
denplan essentials healthy mouth review,103
implant bridge abutment,805
bridge provisional fit,920
implant bridge prep,817
perio spec 12month review,103
crown full gold,419
clinical photographs,109
new under 5 healthy mouth review,118
COV-RESP,9999
routine hygienist appointment (denplan essentials),203
full mouth periapicals,106
implant temporary crown,421
perio spec 12 month review,103
ortho fixed bonded retainer,1032
child dental examination,124
denture acrylic partial,707
implant gbr,801
preperation and impression visit,9999
invis progress review,103
duraphat 5000 toothpaste,9999
crownprep,414
xlafit,9999
enigma teeth (per arch),9999
stainless steel denture,726
filling (temp/unknown material),402
denture unknown material,726
urgent glass ionomer,403
special delivery postage charges,9999
implant ceramic bridge,817
sedation iv fees,9999
implant maintenance,801
bridgefit,926
bridge acrylic implant,920
2ndiimps/bite,9999
bridge pontic unknown material,920
try -in,598
veri check bar,9999
consultation with jm,9999
detry,9999
implant composite bridge,926
urgent amalgam filling,400
gengigel mouthrinse,9999
adult orthodontic consult,1000
bridge retainer unknown material,923
implant technician fee (phil),801
orthodontic,9999
re root canal treatment,500
crown bonded - metal back teeth only,418
extended scaling,200
white syringe single,9999
duraphat 5000,9999
wisdom tooth extraction consult,600
healing abutment implant,805
child exam over 5,124
upper gingivectomy,9999
urgent composite filling,401
diagnostic wax ups,116
flexible denture,721
20 min hyg appt pvt,202
implant -ridge split,801
I-BONE GRAFT,9999
fluorigard mouthrinse,9999
TZ,9999
hygiene visit with airflow,231
hygienist notes,9990
bite wings x ray,105
small composite,401
30 minute hygienist appointment,203
periodontal consultation (additional),214
periodontal referral accept/decline,214
perio diagnostic,229
bridge fit procera/resin bonded,920
perio visit 3of 3,214
periodontal assessment,214
bridge preparation high aesthetic,920
invisalign consult,1005
orthodontic treatment,1032
home whitening with custom tray (single),1114
periodontal therapy and oral hygiene instructions,214
single whitening tube,1113
invisalign anterior,1005
bridge prep. superior high aesthetic,9999
periodontal micro-surgery gtr,229
periodontal maintainence,229
superior gold crown prep.,9999
bupa insurance examination new patient,100
ramp whitening system,1113
perio stability - 1 year,9999
veneer preparation type iii,439
fee for cobalt chrome denture type iii,726
bupa insurance porcelain bonded crown preparation,417
implant surgical template,9999
root plane and curretage type ii,9999
in-surgery whitening,1113
fee for partial acrylic denture,9999
dental hygiene & checkup,231
oasis basics onlay porcelain,409
hygienist 45mins,205
primary tooth lightening in surgery,9999
chronic perio  treatment,9999
perio stability - 3 years,9999
bupa insurance emergency,126
denplan xrays,105
implant review / sutures,103
systemic antimicrobials,9999
be white review,103
root surface debridement 60mins.,9999
andrew's composite filling,401
99p tepe brushes,9999
application of topical antimicrobial,9999
bupa insurance first stage root canal treatment,9999
nhs urgent rec/repair bridge,916
nhs urgent treatment panoral,107
duraphat application,9999
nhs urgent pulpectomy/pulpotomy,506
emergency fee (not including treatment),9999
cr/co denture p/- or -/p (830.00 total price) 200 primary imps & 200 try in,9999
nhs urgent incising an abscess,9999
home tooth whitening,1114
bonded pontic,902
imps for wht includes 2x boxes,1113
nhs urgent treatment rec/repair inlay,9999
therapy services,9999
chrome cobalt/bps denture,726
crown preps& imps appt,414
fta payment for hygienist,9999
flextight denture,721
payment for fta with hygienist,9999
mouthguard (coloured) - fit poa,1107
simple extraction 5+ teeth,600
nhs urgent treatment rec/repair veneer,436
hygienist 10% discount,9999
anaesthetic,234
nhs urgent removal of sutures/plugs,602
tooth whitening additional boxes,1113
partial/full acrylic denture(immediate),703
tooth whitening imps,1113
colgate pro relief,9999
hygienist followed by dentist,9999
pvt perio (ls),221
flexitight denture try-in,703
"""flexitight denture fit (total price 729) imps - 230 try - 230",703
occlusal splint/night guard,1126
fridays only tooth whtening offer,9999
new patient examination inc.bite wings,100
c fast per arch promotional offer,9999
whitening fit,1113
hygiene scale and polish,200
root canal treatment additional session,500
new patient exam adult,100
routine exam adult,100
flexitight primary imps,700
p/- or -/p acrylic fit (654.00 in total),703
surgical extraction 20 mins,600
clincial ortho treatment planning,9999
scale and polish with the dentist,228
-10% discount button,9999
hyg,9999
porcelain bonded crown fit back teeth,417
fills stone & smooth,116
children under 5 examination,118
nhs urgent permenant filling x 1,399
denture fit acrylic,703
composite inlay prep and imps,410
whitening impressions,1128
labwork required,9999
small silver filling (per tooth),400
denture acrylic partial 1 arch (upper or lower),707
on the day 20% discount hyg charge,9999
invoice notes charge,9999
root canal filling incisor&cannine,502
bleaching promotion,9999
nhs urgent treatment external trauma,9999
perio with dentist,201
upper orthodontics removable,1035
lower ortho treatment,1032
stone and smooth private charge.,1116
patient records,9999
full upper or lower bps denture,726
implant 5%discount,9999
implant fee,9999
nhs urgent temp bridge,924
nhs urgent arrest of ab bleed,9999
routine exam child (5-17),124
fta for appointment with dentist (30 min),9999
metal posterior crown prep,414
whitening boxes for staff,9999
inital rct molar,500
internal tooth whitening,1113
chlorsite,9999
imps for implants,801
full bps acrylic denture upper or lower,726
private endo files,9999
"""post crown preparation & impression(s)""",414
new patient exam child (5-17),124
lower orthodontics removable appliance,1035
in-house whitening,1114
posterior porcelain bonded crown prep,417
direct access pt,9999
addition of clasps,724
